id,name,PLZ
5398,Gambarogno,6576
5398,Gambarogno,6577
5398,Gambarogno,6578
5398,Gambarogno,6579
5399,Verzasca,6631
5399,Verzasca,6632
5399,Verzasca,6633
5399,Verzasca,6634
5399,Verzasca,6635
5399,Verzasca,6636
5399,Verzasca,6637
5401,Aigle,1860
5401,Aigle,1863
5402,Bex,1880
5402,Bex,1882
5403,Chessel,1846
5404,Corbeyrier,1856
5406,Lavey-Morcles,1892
5407,Leysin,1854
5408,Noville,1845
5409,Ollon,1866
5409,Ollon,1867
5409,Ollon,1884
5409,Ollon,1885
5410,Ormont-Dessous,1660
5410,Ormont-Dessous,1862
5411,Ormont-Dessus,1864
5411,Ormont-Dessus,1865
5412,Rennaz,1847
5413,Roche (VD),1852
5414,Villeneuve (VD),1844
5415,Yvorne,1853
5422,Aubonne,1170
5422,Aubonne,1172
5422,Aubonne,1174
5423,Ballens,1144
5424,Berolle,1149
5425,Bière,1145
5427,Féchy,1166
5427,Féchy,1173
5428,Gimel,1188
5429,Longirod,1261
5431,Mollens (VD),1146
5435,Saint-Livres,1176
5436,Saint-Oyens,1187
5437,Saubraz,1189
5456,Cudrefin,1588
5464,Vully-les-Lacs,1584
5464,Vully-les-Lacs,1585
5464,Vully-les-Lacs,1586
5464,Vully-les-Lacs,1587
5464,Vully-les-Lacs,1589
5471,Bettens,1042
5471,Bettens,1306
5472,Bournens,1035
5473,Boussens,1034
5474,La Chaux (Cossonay),1148
5474,La Chaux (Cossonay),1308
5474,La Chaux (Cossonay),1316
5477,Cossonay,1304
5482,Eclépens,1312
5483,Ferreyres,1313
5484,Gollion,1124
5485,Grancy,1117
5487,Lussery-Villars,1307
5489,Mex (VD),1031
5491,Mont-la-Ville,1325
5492,Montricher,1147
5493,Orny,1317
5493,Orny,1372
5495,Penthalaz,1305
5496,Penthaz,1303
5497,Pompaples,1318
5498,La Sarraz,1315
5501,Sullens,1036
5503,Vufflens-la-Ville,1302
5512,Bercher,1038
5514,Bottens,1041
5515,Bretigny-sur-Morrens,1053
5518,Echallens,1040
5520,Essertines-sur-Yverdon,1417
5521,Etagnières,1037
5522,Fey,1044
5523,Froideville,1055
5527,Morrens (VD),1054
5529,Oulens-sous-Echallens,1377
5530,Pailly,1416
5531,Penthéréaz,1375
5534,Rueyres,1046
5539,Vuarrens,1418
5540,Montilliez,1043
5541,Goumoëns,1376
5551,Bonvillars,1423
5551,Bonvillars,1427
5552,Bullet,1452
5552,Bullet,1453
5553,Champagne,1424
5554,Concise,1426
5554,Concise,2028
5556,Fiez,1420
5557,Fontaines-sur-Grandson,1421
5559,Giez,1429
5561,Grandson,1422
5563,Mutrux,1428
5564,Novalles,1431
5565,Onnens (VD),1425
5566,Provence,2108
5568,Sainte-Croix,1445
5568,Sainte-Croix,1450
5568,Sainte-Croix,1454
5581,Belmont-sur-Lausanne,1092
5582,Cheseaux-sur-Lausanne,1033
5583,Crissier,1023
5584,Epalinges,1066
5585,Jouxtens-Mézery,1008
5586,Lausanne,1000
5586,Lausanne,1003
5586,Lausanne,1004
5586,Lausanne,1005
5586,Lausanne,1006
5586,Lausanne,1007
5586,Lausanne,1010
5586,Lausanne,1011
5586,Lausanne,1012
5586,Lausanne,1018
5586,Lausanne,1032
5586,Lausanne,1052
5588,Paudex,1094
5588,Paudex,1095
5590,Pully,1009
5590,Pully,1068
5591,Renens (VD),1020
5601,Chexbres,1071
5604,Forel (Lavaux),1072
5604,Forel (Lavaux),1080
5604,Forel (Lavaux),1091
5606,Lutry,1090
5606,Lutry,1093
5607,Puidoux,1070
5607,Puidoux,1096
5607,Puidoux,1098
5607,Puidoux,1607
5611,Savigny,1073
5613,Bourg-en-Lavaux,1097
5621,Aclens,1123
5622,Bremblens,1121
5623,Buchillon,1164
5624,Bussigny,1030
5627,Chavannes-près-Renens,1015
5627,Chavannes-près-Renens,1022
5628,Chigny,1134
5629,Clarmont,1127
5631,Denens,1135
5632,Denges,1026
5634,Echichens,1112
5634,Echichens,1113
5634,Echichens,1114
5634,Echichens,1125
5635,Ecublens (VD),1024
5636,Etoy,1163
5637,Lavigny,1175
5638,Lonay,1027
5639,Lully (VD),1132
5639,Lully (VD),1162
5640,Lussy-sur-Morges,1167
5642,Morges,1110
5643,Préverenges,1028
5645,Romanel-sur-Morges,1122
5648,Saint-Sulpice (VD),1025
5649,Tolochenaz,1131
5650,Vaux-sur-Morges,1126
5651,Villars-Sainte-Croix,1029
5652,Villars-sous-Yens,1168
5654,Vullierens,1115
5655,Yens,1169
5656,Hautemorges,1116
5656,Hautemorges,1128
5656,Hautemorges,1136
5656,Hautemorges,1141
5656,Hautemorges,1142
5656,Hautemorges,1143
5661,Boulens,1063
5663,Bussy-sur-Moudon,1514
5665,Chavannes-sur-Moudon,1510
5665,Chavannes-sur-Moudon,1512
5669,Curtilles,1521
5671,Dompierre (VD),1682
5673,Hermenches,1059
5673,Hermenches,1513
5675,Lucens,1522
5675,Lucens,1526
5675,Lucens,1683
5680,Ogens,1045
5690,Villars-le-Comte,1515
5692,Vucherens,1509
5693,Montanaire,1409
5701,Arnex-sur-Nyon,1277
5702,Arzier-Le Muids,1264
5702,Arzier-Le Muids,1273
5703,Bassins,1269
5704,Begnins,1268
5705,Bogis-Bossey,1279
5708,Chavannes-des-Bois,1290
5709,Chéserex,1275
5709,Chéserex,1276
5710,Coinsins,1267
5711,Commugny,1291
5712,Coppet,1296
5712,Coppet,1297
5713,Crans (VD),1299
5714,Crassier,1263
5715,Duillier,1266
5716,Eysins,1262
5718,Genolier,1272
5720,Givrins,1271
5721,Gland,1196
5722,Grens,1274
5723,Mies,1295
5724,Nyon,1260
5725,Prangins,1197
5726,La Rippe,1278
5727,Saint-Cergue,1265
5730,Trélex,1270
5741,L'Abergement,1355
5741,L'Abergement,1357
5742,Agiez,1352
5743,Arnex-sur-Orbe,1321
