ID,MainCategory,SubCategory,TotalPower
5195,Hydroelectric power,Hydroelectric power,950.00
5196,Other renewable energies,Photovoltaic,704.45
5197,Other renewable energies,Photovoltaic,771.04
5198,Other renewable energies,Photovoltaic,413.52
5199,Other renewable energies,Photovoltaic,453.89
5200,Other renewable energies,Photovoltaic,327.27
5203,Other renewable energies,Photovoltaic,179.89
5205,Other renewable energies,Photovoltaic,365.83
5206,Other renewable energies,Photovoltaic,116.04
5207,Other renewable energies,Photovoltaic,821.41
5208,Other renewable energies,Photovoltaic,613.96
5210,Other renewable energies,Photovoltaic,98.70
5212,Other renewable energies,Photovoltaic,1062.20
5214,Other renewable energies,Photovoltaic,1325.09
5216,Other renewable energies,Photovoltaic,740.13
5219,Other renewable energies,Photovoltaic,524.20
5221,Other renewable energies,Photovoltaic,631.52
5225,Other renewable energies,Photovoltaic,429.94
5226,Other renewable energies,Photovoltaic,25.79
5227,Other renewable energies,Photovoltaic,70.50
5230,Other renewable energies,Photovoltaic,344.10
5230,Fossil fuel,Natural gas,5.30
5231,Other renewable energies,Photovoltaic,774.30
5233,Other renewable energies,Photovoltaic,90.67
5236,Other renewable energies,Photovoltaic,2.90
5242,Other renewable energies,Photovoltaic,6646.43
5249,Other renewable energies,Photovoltaic,1507.29
5250,Other renewable energies,Photovoltaic,1402.71
5250,Fossil fuel,Natural gas,70.00
5251,Other renewable energies,Photovoltaic,1064.28
5254,Other renewable energies,Photovoltaic,8773.06
5257,Other renewable energies,Photovoltaic,1935.31
5257,Hydroelectric power,Hydroelectric power,37.00
5260,Other renewable energies,Photovoltaic,3479.37
5263,Other renewable energies,Photovoltaic,1596.69
5266,Other renewable energies,Photovoltaic,5408.88
5268,Other renewable energies,Biomass,120.00
5268,Other renewable energies,Photovoltaic,1172.80
5269,Other renewable energies,Photovoltaic,5.88
5281,Other renewable energies,Photovoltaic,3698.77
5281,Other renewable energies,Biomass,69.00
5281,Hydroelectric power,Hydroelectric power,431000.00
5287,Other renewable energies,Photovoltaic,3.15
5309,Hydroelectric power,Hydroelectric power,2186.00
5309,Other renewable energies,Photovoltaic,17.92
5310,Other renewable energies,Photovoltaic,153.13
5317,Other renewable energies,Photovoltaic,762.56
5398,Other renewable energies,Photovoltaic,159.25
5401,Other renewable energies,Photovoltaic,9671.67
5401,Other renewable energies,Biomass,60.00
5401,Hydroelectric power,Hydroelectric power,14385.00
5401,Fossil fuel,Natural gas,40.00
5402,Other renewable energies,Photovoltaic,7032.09
5402,Hydroelectric power,Hydroelectric power,13031.70
5403,Other renewable energies,Photovoltaic,415.76
5404,Other renewable energies,Photovoltaic,336.69
5405,Other renewable energies,Photovoltaic,725.40
5405,Hydroelectric power,Hydroelectric power,283.00
5406,Other renewable energies,Photovoltaic,31.36
5407,Other renewable energies,Photovoltaic,701.63
5408,Other renewable energies,Photovoltaic,1762.70
5409,Other renewable energies,Photovoltaic,2599.82
5409,Other renewable energies,Biomass,50.00
5409,Hydroelectric power,Hydroelectric power,250.00
5410,Hydroelectric power,Hydroelectric power,400.00
5410,Other renewable energies,Photovoltaic,155.40
5412,Other renewable energies,Photovoltaic,3069.55
5415,Other renewable energies,Photovoltaic,673.60
5422,Hydroelectric power,Hydroelectric power,12668.00
5422,Other renewable energies,Photovoltaic,1369.62
5423,Other renewable energies,Photovoltaic,1026.72
5424,Other renewable energies,Photovoltaic,569.83
5425,Other renewable energies,Photovoltaic,862.25
5425,Other renewable energies,Biomass,12.00
5425,Hydroelectric power,Hydroelectric power,75.00
5426,Other renewable energies,Photovoltaic,198.43
5427,Other renewable energies,Photovoltaic,406.84
5428,Other renewable energies,Photovoltaic,1414.33
5429,Other renewable energies,Photovoltaic,348.90
5430,Other renewable energies,Photovoltaic,99.28
5434,Other renewable energies,Biomass,160.00
5434,Other renewable energies,Photovoltaic,82.59
5435,Other renewable energies,Photovoltaic,131.90
5436,Other renewable energies,Photovoltaic,189.26
5437,Other renewable energies,Photovoltaic,101.04
5451,Other renewable energies,Photovoltaic,4401.61
5456,Other renewable energies,Photovoltaic,2593.03
5456,Other renewable energies,Biomass,629.00
5458,Other renewable energies,Photovoltaic,724.55
5471,Other renewable energies,Photovoltaic,155.56
5472,Other renewable energies,Photovoltaic,768.41
5473,Other renewable energies,Photovoltaic,560.45
5473,Other renewable energies,Biomass,237.00
5474,Other renewable energies,Photovoltaic,676.90
5475,Other renewable energies,Photovoltaic,77.41
5476,Other renewable energies,Photovoltaic,139.56
5476,Hydroelectric power,Hydroelectric power,7.00
5477,Other renewable energies,Photovoltaic,552.23
5479,Other renewable energies,Photovoltaic,298.71
5480,Other renewable energies,Photovoltaic,2322.59
5481,Other renewable energies,Photovoltaic,405.05
5482,Other renewable energies,Photovoltaic,1254.58
