ID,MainCategory,SubCategory,TotalPower,Date
5636,Other renewable energies,Photovoltaic,32,2008
11,Other renewable energies,Photovoltaic,28.42,2011
5515,Other renewable energies,Photovoltaic,4.6,2008
5516,Other renewable energies,Photovoltaic,4.6,2008
5586,Other renewable energies,Photovoltaic,83.90000000000003,2008
3292,Other renewable energies,Photovoltaic,32.24,2009
3295,Other renewable energies,Photovoltaic,12.4,2009
3298,Other renewable energies,Photovoltaic,73.98,2009
4891,Other renewable energies,Photovoltaic,1015.6199999999998,2011
4946,Other renewable energies,Photovoltaic,575.1199999999999,2011
5721,Other renewable energies,Photovoltaic,27.69,2011
211,Other renewable energies,Photovoltaic,215.3,2011
4451,Other renewable energies,Photovoltaic,86.6,2011
1631,Hydroelectric power,Hydroelectric power,3020,2009
292,Other renewable energies,Photovoltaic,346.91999999999996,2010
4536,Other renewable energies,Photovoltaic,63.7,2010
1023,Other renewable energies,Photovoltaic,2.8,2008
1026,Other renewable energies,Photovoltaic,12.7,2008
1033,Other renewable energies,Photovoltaic,2.8,2008
4231,Other renewable energies,Photovoltaic,2.8,2008
4239,Other renewable energies,Photovoltaic,2.8,2008
3021,Other renewable energies,Photovoltaic,22.560000000000002,2009
3025,Other renewable energies,Photovoltaic,8.96,2009
3036,Other renewable energies,Photovoltaic,19.360000000000003,2009
4012,Other renewable energies,Photovoltaic,3.2,2008
573,Other renewable energies,Photovoltaic,15.8,2007
589,Other renewable energies,Photovoltaic,7.9,2007
592,Other renewable energies,Photovoltaic,7.9,2007
351,Hydroelectric power,Hydroelectric power,3900,2017
4741,Other renewable energies,Photovoltaic,107.2,2011
880,Other renewable energies,Photovoltaic,15.8,2008
941,Other renewable energies,Photovoltaic,30.200000000000003,2008
584,Other renewable energies,Photovoltaic,40.55,2012
1098,Other renewable energies,Photovoltaic,350.84000000000003,2008
668,Other renewable energies,Photovoltaic,542.8600000000001,2011
670,Other renewable energies,Photovoltaic,395.77,2011
158,Other renewable energies,Photovoltaic,35.900000000000006,2008
4476,Other renewable energies,Photovoltaic,374.06000000000006,2008
4681,Other renewable energies,Photovoltaic,263.8,2008
4901,Other renewable energies,Photovoltaic,313.2,2008
4240,Other renewable energies,Photovoltaic,37.1,2008
4260,Other renewable energies,Photovoltaic,14,2009
6784,Other renewable energies,Photovoltaic,8.4,2008
88,Other renewable energies,Photovoltaic,465.1400000000001,2011
101,Other renewable energies,Photovoltaic,700.58,2011
1098,Other renewable energies,Photovoltaic,8.55,2007
115,Other renewable energies,Photovoltaic,8.100000000000001,2009
196,Other renewable energies,Photovoltaic,2.2,2009
198,Other renewable energies,Photovoltaic,14.2,2009
5638,Other renewable energies,Photovoltaic,4.2,2008
6232,Other renewable energies,Photovoltaic,572,2012
6248,Other renewable energies,Photovoltaic,1153.5,2012
4411,Other renewable energies,Photovoltaic,80.6,2009
5471,Other renewable energies,Photovoltaic,7.2,2009
5480,Other renewable energies,Photovoltaic,7.2,2009
5671,Other renewable energies,Photovoltaic,4,2009
5674,Other renewable energies,Photovoltaic,4,2009
5683,Other renewable energies,Photovoltaic,4,2009
5831,Other renewable energies,Photovoltaic,13.7,2009
605,Other renewable energies,Photovoltaic,42.5,2009
907,Other renewable energies,Photovoltaic,28.4,2009
5254,Other renewable energies,Photovoltaic,76.1,2010
2904,Other renewable energies,Photovoltaic,214.37999999999997,2011
2973,Other renewable energies,Photovoltaic,196.14999999999998,2011
2974,Other renewable energies,Photovoltaic,298.2,2011
2830,Other renewable energies,Photovoltaic,9.8,2006
355,Other renewable energies,Photovoltaic,53.95,2006
5792,Other renewable energies,Photovoltaic,19.5,2008
2029,Other renewable energies,Photovoltaic,21.900000000000002,2008
5816,Other renewable energies,Photovoltaic,11.100000000000001,2008
1026,Other renewable energies,Photovoltaic,364.45000000000005,2012
1037,Other renewable energies,Photovoltaic,329.25,2012
1039,Other renewable energies,Photovoltaic,450.81999999999994,2012
1040,Other renewable energies,Photovoltaic,1459.2699999999998,2012
431,Other renewable energies,Photovoltaic,48.239999999999995,2010
432,Other renewable energies,Photovoltaic,9.8,2010
433,Other renewable energies,Photovoltaic,1.9,2010
434,Other renewable energies,Photovoltaic,11.7,2010
1370,Other renewable energies,Photovoltaic,101.3,2010
1371,Other renewable energies,Photovoltaic,114.2,2010
1706,Other renewable energies,Photovoltaic,140,2010
2053,Other renewable energies,Photovoltaic,9.7,2006
5451,Other renewable energies,Photovoltaic,9.7,2006
351,Other renewable energies,Photovoltaic,561.0999999999999,2010
362,Other renewable energies,Photovoltaic,446.1,2010
363,Other renewable energies,Photovoltaic,488.3,2010
3673,Other renewable energies,Photovoltaic,239.60000000000002,2009
6023,Other renewable energies,Photovoltaic,38.5,2008
6265,Other renewable energies,Photovoltaic,27.1,2008
38,Other renewable energies,Photovoltaic,117.7,2013
2087,Other renewable energies,Photovoltaic,8.6,2009
3038,Other renewable energies,Photovoltaic,100.71,2007
1065,Other renewable energies,Photovoltaic,2.7,2008
1067,Other renewable energies,Photovoltaic,2.7,2008
4135,Other renewable energies,Photovoltaic,25.3,2010
219,Other renewable energies,Photovoltaic,64.2,2010
230,Other renewable energies,Photovoltaic,815.5099999999999,2010
2125,Other renewable energies,Photovoltaic,13.75,2008
2135,Other renewable energies,Photovoltaic,13.75,2008
2145,Other renewable energies,Photovoltaic,13.75,2008
66,Other renewable energies,Photovoltaic,980.5800000000002,2012
97,Other renewable energies,Photovoltaic,406,2012
261,Other renewable energies,Photovoltaic,3438.0600000000004,2012
5474,Other renewable energies,Photovoltaic,11.5,2007
5475,Other renewable energies,Photovoltaic,11.5,2007
5479,Other renewable energies,Photovoltaic,11.5,2007
5486,Other renewable energies,Photovoltaic,34.5,2007
5488,Other renewable energies,Photovoltaic,11.5,2007
5490,Other renewable energies,Photovoltaic,11.5,2007
5491,Other renewable energies,Photovoltaic,11.5,2007
5758,Other renewable energies,Photovoltaic,11.5,2007
3022,Other renewable energies,Photovoltaic,139.62,2009
3251,Other renewable energies,Photovoltaic,1046.8399999999997,2009
5407,Other renewable energies,Photovoltaic,3.6,2006
885,Hydroelectric power,Hydroelectric power,110,2012
293,Other renewable energies,Photovoltaic,19.509999999999998,2008
1342,Other renewable energies,Photovoltaic,5.8,2008
1346,Other renewable energies,Photovoltaic,2.9,2008
1349,Other renewable energies,Photovoltaic,2.9,2008
5409,Other renewable energies,Photovoltaic,189.1799999999999,2011
3401,Other renewable energies,Photovoltaic,50.400000000000006,2008
3292,Other renewable energies,Photovoltaic,251.80999999999997,2008
3298,Other renewable energies,Photovoltaic,240.70999999999998,2008
5117,Other renewable energies,Photovoltaic,4.3,2011
883,Other renewable energies,Photovoltaic,9.899999999999999,2010
905,Other renewable energies,Photovoltaic,190.78000000000003,2009
3315,Other renewable energies,Photovoltaic,11.899999999999999,2008
879,Other renewable energies,Photovoltaic,14.8,2006
880,Other renewable energies,Photovoltaic,14.8,2006
5649,Other renewable energies,Photovoltaic,311.82,2011
3291,Other renewable energies,Photovoltaic,5.8,2008
358,Other renewable energies,Photovoltaic,16.259999999999998,2009
359,Other renewable energies,Photovoltaic,19.659999999999997,2009
855,Other renewable energies,Photovoltaic,11.9,2008
2177,Other renewable energies,Photovoltaic,3.4,2008
5435,Other renewable energies,Photovoltaic,22.45,2009
1506,Other renewable energies,Photovoltaic,103.44,2011
1508,Other renewable energies,Photovoltaic,185.58,2011
1509,Other renewable energies,Photovoltaic,227.54000000000002,2011
1051,Other renewable energies,Photovoltaic,40.5,2008
1052,Other renewable energies,Photovoltaic,25.639999999999997,2008
1054,Other renewable energies,Photovoltaic,36.09,2008
5518,Other renewable energies,Photovoltaic,3.3,2008
5535,Other renewable energies,Photovoltaic,3.3,2008
5537,Other renewable energies,Photovoltaic,3.3,2008
3031,Other renewable energies,Photovoltaic,80.3,2009
3034,Other renewable energies,Photovoltaic,72.6,2009
4724,Other renewable energies,Photovoltaic,703.56,2012
4746,Other renewable energies,Photovoltaic,1768.87,2012
6034,Other renewable energies,Photovoltaic,47.55,2011
743,Other renewable energies,Photovoltaic,35.3,2009
745,Other renewable energies,Photovoltaic,85.69999999999999,2009
2250,Other renewable energies,Photovoltaic,8.8,2008
2148,Other renewable energies,Photovoltaic,24.9,2008
351,Other renewable energies,Photovoltaic,74.7,2008
355,Other renewable energies,Photovoltaic,167.29,2008
6293,Hydroelectric power,Hydroelectric power,110,2006
6296,Hydroelectric power,Hydroelectric power,110,2006
3251,Other renewable energies,Photovoltaic,42.77,2007
3252,Other renewable energies,Photovoltaic,30.770000000000003,2007
3202,Other renewable energies,Photovoltaic,1159.73,2013
4416,Other renewable energies,Photovoltaic,898.7200000000001,2013
4441,Other renewable energies,Photovoltaic,956.5500000000001,2013
4446,Other renewable energies,Photovoltaic,898.7200000000001,2013
4461,Other renewable energies,Photovoltaic,2753.759999999998,2013
