ID,Municipality,MainCategory,SubCategory,TotalPower
2495,Niedergösgen,Hydroelectric power,Hydroelectric power,51000.00
2495,Niedergösgen,Nuclear energy,Nuclear energy,1035000.00
2497,Obergösgen,Other renewable energies,Photovoltaic,1773.27
2497,Obergösgen,Other renewable energies,Biomass,180.00
2497,Obergösgen,Hydroelectric power,Hydroelectric power,260.00
2499,Stüsslingen,Other renewable energies,Photovoltaic,705.28
2500,Trimbach,Other renewable energies,Photovoltaic,5605.96
2500,Trimbach,Hydroelectric power,Hydroelectric power,370.00
2500,Trimbach,Fossil fuel,Natural gas,368.00
2503,Erlinsbach (SO),Other renewable energies,Photovoltaic,1187.31
2513,Biberist,Other renewable energies,Photovoltaic,18145.58
2513,Biberist,Other renewable energies,Waste,21600.00
2513,Biberist,Fossil fuel,Natural gas,1165.00
2513,Biberist,Hydroelectric power,Hydroelectric power,90.00
2516,Deitingen,Other renewable energies,Photovoltaic,6143.26
2516,Deitingen,Hydroelectric power,Hydroelectric power,1060.00
2517,Derendingen,Hydroelectric power,Hydroelectric power,252.00
2517,Derendingen,Other renewable energies,Photovoltaic,4738.59
2518,Etziken,Other renewable energies,Photovoltaic,1011.82
2519,Gerlafingen,Other renewable energies,Photovoltaic,1057.76
2519,Gerlafingen,Hydroelectric power,Hydroelectric power,300.00
2520,Halten,Other renewable energies,Photovoltaic,1536.11
2523,Horriwil,Other renewable energies,Photovoltaic,407.88
2530,Recherswil,Other renewable energies,Photovoltaic,1248.52
2532,Subingen,Other renewable energies,Photovoltaic,1751.50
2535,Drei Höfe,Other renewable energies,Photovoltaic,468.17
2541,Balm bei Günsberg,Other renewable energies,Photovoltaic,971.68
2542,Bellach,Other renewable energies,Photovoltaic,3035.40
2543,Bettlach,Other renewable energies,Photovoltaic,2141.45
2544,Feldbrunnen-St. Niklaus,Other renewable energies,Photovoltaic,341.62
2545,Flumenthal,Other renewable energies,Photovoltaic,512.37
2546,Grenchen,Other renewable energies,Photovoltaic,7295.40
2546,Grenchen,Hydroelectric power,Hydroelectric power,36.50
2546,Grenchen,Fossil fuel,Natural gas,43.20
2548,Hubersdorf,Other renewable energies,Photovoltaic,357.02
2550,Langendorf,Other renewable energies,Photovoltaic,2656.69
2550,Langendorf,Other renewable energies,Wind energy,6.40
2551,Lommiswil,Other renewable energies,Photovoltaic,690.52
2553,Oberdorf (SO),Other renewable energies,Photovoltaic,1247.85
2553,Oberdorf (SO),Hydroelectric power,Hydroelectric power,75.00
2554,Riedholz,Other renewable energies,Photovoltaic,1227.01
2556,Selzach,Other renewable energies,Photovoltaic,4485.24
2571,Boningen,Hydroelectric power,Hydroelectric power,45440.00
2571,Boningen,Other renewable energies,Photovoltaic,2381.05
2571,Boningen,Other renewable energies,Biomass,120.00
2573,Dulliken,Other renewable energies,Biomass,380.00
2573,Dulliken,Other renewable energies,Photovoltaic,1764.56
2574,Eppenberg-Wöschnau,Other renewable energies,Photovoltaic,1563.31
2574,Eppenberg-Wöschnau,Other renewable energies,Biomass,112.00
2574,Eppenberg-Wöschnau,Hydroelectric power,Hydroelectric power,990.00
2575,Fulenbach,Other renewable energies,Photovoltaic,1947.52
2578,Gunzgen,Other renewable energies,Photovoltaic,5212.05
2578,Gunzgen,Other renewable energies,Biomass,104.00
2581,Olten,Other renewable energies,Photovoltaic,2410.51
2582,Rickenbach (SO),Other renewable energies,Photovoltaic,437.62
2584,Starrkirch-Wil,Other renewable energies,Photovoltaic,805.67
2611,Bärschwil,Other renewable energies,Photovoltaic,1021.53
2611,Bärschwil,Other renewable energies,Biomass,357.00
2613,Breitenbach,Other renewable energies,Photovoltaic,5650.20
2614,Büsserach,Other renewable energies,Photovoltaic,4344.12
2615,Erschwil,Other renewable energies,Photovoltaic,1069.16
2617,Grindel,Other renewable energies,Photovoltaic,201.10
2619,Kleinlützel,Other renewable energies,Photovoltaic,1037.05
2619,Kleinlützel,Other renewable energies,Biomass,490.00
2621,Nunningen,Other renewable energies,Photovoltaic,1200.50
2622,Zullwil,Other renewable energies,Photovoltaic,142.20
2701,Basel,Other renewable energies,Photovoltaic,31021.21
2701,Basel,Other renewable energies,Waste,16214.60
2701,Basel,Other renewable energies,Biomass,13215.40
